time,value
2005-01-01,7171
2005-02-01,7441
2005-03-01,10175
2005-04-01,9554
2005-05-01,10457
2005-06-01,11646
2005-07-01,10251
2005-08-01,12902
2005-09-01,10875
2005-10-01,11529
2005-11-01,11162
2005-12-01,7836
2006-01-01,9008
2006-02-01,8809
2006-03-01,11368
2006-04-01,10215
2006-05-01,12016
2006-06-01,11937
2006-07-01,13164
2006-08-01,15992
2006-09-01,14670
2006-10-01,13743
2006-11-01,13749
2006-12-01,9342
2007-01-01,11381
2007-02-01,11587
2007-03-01,14025
2007-04-01,12762
2007-05-01,14903
2007-06-01,15589
2007-07-01,14805
2007-08-01,17077
2007-09-01,16997
2007-10-01,16041
2007-11-01,15463
2007-12-01,10422
2008-01-01,12655
2008-02-01,13196
2008-03-01,13283
2008-04-01,14865
2008-05-01,14911
2008-06-01,16144
2008-07-01,13750
2008-08-01,14797
2008-09-01,15125
2008-10-01,14644
2008-11-01,12842
2008-12-01,9944
2009-01-01,11565
2009-02-01,10678
2009-03-01,13322
2009-04-01,13356
2009-05-01,13290
2009-06-01,14073
2009-07-01,13229
2009-08-01,15481
2009-09-01,15118
2009-10-01,13257
2009-11-01,12092
2009-12-01,9598
2010-01-01,8830
2010-02-01,10265
2010-03-01,13380
2010-04-01,11257
2010-05-01,13415
2010-06-01,15246
2010-07-01,12723
2010-08-01,13190
2010-09-01,14638
2010-10-01,13891
2010-11-01,13478
2010-12-01,10697
2011-01-01,10918
2011-02-01,11467
2011-03-01,14389
2011-04-01,10860
2011-05-01,13461
2011-06-01,13827
2011-07-01,11947
2011-08-01,14219
2011-09-01,13222
2011-10-01,11960
2011-11-01,11807
2011-12-01,8662
2012-01-01,9025
2012-02-01,10372
2012-03-01,11487
2012-04-01,10026
2012-05-01,12623
2012-06-01,13024
2012-07-01,11677
2012-08-01,13157
2012-09-01,13096
2012-10-01,12235
2012-11-01,11986
2012-12-01,7934
2013-01-01,9458
2013-02-01,10254
2013-03-01,11210
2013-04-01,11697
2013-05-01,12613
2013-06-01,13308
2013-07-01,10860
2013-08-01,11405
2013-09-01,13001
2013-10-01,11251
2013-11-01,10756
2013-12-01,8474
2014-01-01,9354
2014-02-01,9312
2014-03-01,12070
2014-04-01,9709
2014-05-01,11342
2014-06-01,11719
2014-07-01,10441
2014-08-01,11741
2014-09-01,11914
2014-10-01,12044
2014-11-01,10277
2014-12-01,8297
2015-01-01,8898
2015-02-01,8869
2015-03-01,10948
2015-04-01,10254
2015-05-01,9804
2015-06-01,11914
2015-07-01,10263
2015-08-01,11304
2015-09-01,11817
2015-10-01,11317
2015-11-01,11004
2015-12-01,7861
2016-01-01,8596
2016-02-01,9152
2016-03-01,10312
2016-04-01,9915
2016-05-01,9098
2016-06-01,10691
2016-07-01,8317
2016-08-01,10431
2016-09-01,9341
2016-10-01,9897
2016-11-01,9956
2016-12-01,6694
2017-01-01,7513
2017-02-01,7815
2017-03-01,9223
2017-04-01,7897
2017-05-01,9171
2017-06-01,9798
2017-07-01,9188
2017-08-01,9795
2017-09-01,10061
2017-10-01,9539
2017-11-01,9508
2017-12-01,6537
2018-01-01,7219
2018-02-01,7287
2018-03-01,8215
2018-04-01,8119
2018-05-01,8519
2018-06-01,9313
2018-07-01,7981
2018-08-01,9002
2018-09-01,9855
2018-10-01,9296
2018-11-01,9119
2018-12-01,6653
2019-01-01,6859
2019-02-01,6976
2019-03-01,8417
2019-04-01,7938
2019-05-01,8617
2019-06-01,9526
2019-07-01,7880
2019-08-01,8521
2019-09-01,9626
2019-10-01,9475
2019-11-01,8988
2019-12-01,6728
2020-01-01,7129
2020-02-01,7992
2020-03-01,4469
2020-04-01,956
2020-05-01,1618
2020-06-01,4150
2020-07-01,6886
2020-08-01,7008
2020-09-01,7218
2020-10-01,5534
2020-11-01,3316
2020-12-01,2555
2021-01-01,2320
2021-02-01,2612
2021-03-01,3351
2021-04-01,3289
2021-05-01,4590
2021-06-01,6527
2021-07-01,7642
2021-08-01,9003
2021-09-01,9507
2021-10-01,7836
2021-11-01,7337
2021-12-01,4244
2022-01-01,4808
2022-02-01,5445
2022-03-01,7667
2022-04-01,7449
2022-05-01,10030
2022-06-01,10364
2022-07-01,8342
