time,value
2005-01-01,10995
2005-02-01,10308
2005-03-01,8527
2005-04-01,8846
2005-05-01,11909
2005-06-01,10357
2005-07-01,5990
2005-08-01,8957
2005-09-01,11299
2005-10-01,11521
2005-11-01,14947
2005-12-01,10600
2006-01-01,8571
2006-02-01,7916
2006-03-01,11341
2006-04-01,8774
2006-05-01,10109
2006-06-01,11366
2006-07-01,8037
2006-08-01,9296
2006-09-01,11185
2006-10-01,12752
2006-11-01,14050
2006-12-01,10171
2007-01-01,11276
2007-02-01,9140
2007-03-01,9533
2007-04-01,9248
2007-05-01,11486
2007-06-01,11016
2007-07-01,10773
2007-08-01,10894
2007-09-01,12727
2007-10-01,13184
2007-11-01,17437
2007-12-01,11818
2008-01-01,10986
2008-02-01,13935
2008-03-01,12995
2008-04-01,11474
2008-05-01,13715
2008-06-01,12816
2008-07-01,13221
2008-08-01,13897
2008-09-01,12488
2008-10-01,15581
2008-11-01,17969
2008-12-01,13826
2009-01-01,10041
2009-02-01,10242
2009-03-01,12510
2009-04-01,12231
2009-05-01,14731
2009-06-01,14189
2009-07-01,17993
2009-08-01,18357
2009-09-01,18392
2009-10-01,16067
2009-11-01,20987
2009-12-01,14731
2010-01-01,13564
2010-02-01,12883
2010-03-01,11433
2010-04-01,14168
2010-05-01,17171
2010-06-01,12511
2010-07-01,14858
2010-08-01,12514
2010-09-01,15244
2010-10-01,17399
2010-11-01,20416
2010-12-01,16997
2011-01-01,12797
2011-02-01,11368
2011-03-01,13474
2011-04-01,13354
2011-05-01,14700
2011-06-01,14959
2011-07-01,18184
2011-08-01,14178
2011-09-01,16332
2011-10-01,15984
2011-11-01,21646
2011-12-01,17017
2012-01-01,15674
2012-02-01,14931
2012-03-01,12161
2012-04-01,13412
2012-05-01,15035
2012-06-01,13601
2012-07-01,18483
2012-08-01,12437
2012-09-01,13620
2012-10-01,17382
2012-11-01,19083
2012-12-01,17194
2013-01-01,10857
2013-02-01,13969
2013-03-01,14768
2013-04-01,14064
2013-05-01,16534
2013-06-01,13594
2013-07-01,19466
2013-08-01,14539
2013-09-01,16810
2013-10-01,19334
2013-11-01,22204
2013-12-01,17365
2014-01-01,14951
2014-02-01,13130
2014-03-01,16715
2014-04-01,14764
2014-05-01,17935
2014-06-01,15736
2014-07-01,23840
2014-08-01,17967
2014-09-01,18877
2014-10-01,23257
2014-11-01,22777
2014-12-01,21352
2015-01-01,13968
2015-02-01,18976
2015-03-01,17956
2015-04-01,19885
2015-05-01,23133
2015-06-01,21507
2015-07-01,26619
2015-08-01,20039
2015-09-01,21721
2015-10-01,23304
2015-11-01,25337
2015-12-01,21385
2016-01-01,17732
2016-02-01,18193
2016-03-01,17315
2016-04-01,19417
2016-05-01,21844
2016-06-01,18722
2016-07-01,23902
2016-08-01,18490
2016-09-01,20484
2016-10-01,24598
2016-11-01,24248
2016-12-01,23602
2017-01-01,16167
2017-02-01,14822
2017-03-01,22358
2017-04-01,21784
2017-05-01,23523
2017-06-01,19381
2017-07-01,24512
2017-08-01,18501
2017-09-01,22519
2017-10-01,27608
2017-11-01,27101
2017-12-01,23945
2018-01-01,19010
2018-02-01,19455
2018-03-01,19231
2018-04-01,20336
2018-05-01,23754
2018-06-01,22419
2018-07-01,26090
2018-08-01,21655
2018-09-01,21866
2018-10-01,27272
2018-11-01,24948
2018-12-01,25214
2019-01-01,15538
2019-02-01,15605
2019-03-01,22333
2019-04-01,23149
2019-05-01,27739
2019-06-01,21994
2019-07-01,26306
2019-08-01,22944
2019-09-01,25100
2019-10-01,29170
2019-11-01,28865
2019-12-01,26389
2020-01-01,20942
2020-02-01,19049
2020-03-01,9000
2020-04-01,1948
2020-05-01,5404
2020-06-01,11240
2020-07-01,17847
2020-08-01,18770
2020-09-01,18400
2020-10-01,19138
2020-11-01,9014
2020-12-01,7241
2021-01-01,5117
2021-02-01,6262
2021-03-01,10199
2021-04-01,25137
2021-05-01,27204
2021-06-01,18031
2021-07-01,22802
2021-08-01,26558
2021-09-01,24225
2021-10-01,29675
2021-11-01,24788
2021-12-01,22557
2022-01-01,12458
2022-02-01,15023
2022-03-01,21655
2022-04-01,28872
2022-05-01,31482
2022-06-01,27679
2022-07-01,33270
2022-08-01,31850
2022-09-01,28960
2022-10-01,31007
2022-11-01,28457
2022-12-01,28783
2023-01-01,18029
2023-02-01,21581
2023-03-01,21335
2023-04-01,27484
2023-05-01,32600
