time,value
2005-01-01,2632
2005-02-01,2519
2005-03-01,2880
2005-04-01,2301
2005-05-01,2342
2005-06-01,2423
2005-07-01,2804
2005-08-01,3483
2005-09-01,3051
2005-10-01,3900
2005-11-01,2284
2005-12-01,2252
2006-01-01,2978
2006-02-01,3618
2006-03-01,3219
2006-04-01,3036
2006-05-01,2736
2006-06-01,3367
2006-07-01,4656
2006-08-01,5886
2006-09-01,3189
2006-10-01,4128
2006-11-01,2303
2006-12-01,2642
2007-01-01,4303
2007-02-01,3137
2007-03-01,5209
2007-04-01,3817
2007-05-01,4503
2007-06-01,4274
2007-07-01,5571
2007-08-01,5746
2007-09-01,4982
2007-10-01,4015
2007-11-01,3479
2007-12-01,3637
2008-01-01,4212
2008-02-01,3812
2008-03-01,6782
2008-04-01,4221
2008-05-01,3627
2008-06-01,4222
2008-07-01,5883
2008-08-01,6238
2008-09-01,5791
2008-10-01,2575
2008-11-01,2259
2008-12-01,3667
2009-01-01,4079
2009-02-01,2858
2009-03-01,4228
2009-04-01,5435
2009-05-01,3338
2009-06-01,2699
2009-07-01,4356
2009-08-01,4628
2009-09-01,3348
2009-10-01,2882
2009-11-01,2406
2009-12-01,3388
