time,value
2005-01-01,226
2005-02-01,229
2005-03-01,321
2005-04-01,489
2005-05-01,605
2005-06-01,669
2005-07-01,632
2005-08-01,973
2005-09-01,941
2005-10-01,510
2005-11-01,396
2005-12-01,312
2006-01-01,305
2006-02-01,402
2006-03-01,421
2006-04-01,432
2006-05-01,611
2006-06-01,655
2006-07-01,760
2006-08-01,756
2006-09-01,872
2006-10-01,686
2006-11-01,487
2006-12-01,319
2007-01-01,273
2007-02-01,365
2007-03-01,612
2007-04-01,486
2007-05-01,613
2007-06-01,912
2007-07-01,753
2007-08-01,977
2007-09-01,1066
2007-10-01,743
2007-11-01,606
2007-12-01,478
2008-01-01,334
2008-02-01,388
2008-03-01,476
2008-04-01,762
2008-05-01,1353
2008-06-01,804
2008-07-01,782
2008-08-01,1172
2008-09-01,1018
2008-10-01,1065
2008-11-01,790
2008-12-01,327
2009-01-01,404
2009-02-01,366
2009-03-01,480
2009-04-01,509
2009-05-01,1055
2009-06-01,957
2009-07-01,946
2009-08-01,1319
2009-09-01,1147
2009-10-01,853
2009-11-01,649
2009-12-01,469
2010-01-01,564
2010-02-01,562
2010-03-01,924
2010-04-01,649
2010-05-01,1033
2010-06-01,918
2010-07-01,1208
2010-08-01,1478
2010-09-01,1201
2010-10-01,978
2010-11-01,577
2010-12-01,339
2011-01-01,580
2011-02-01,481
2011-03-01,557
2011-04-01,751
2011-05-01,868
2011-06-01,967
2011-07-01,1000
2011-08-01,1036
2011-09-01,1043
2011-10-01,690
2011-11-01,588
2011-12-01,372
2012-01-01,492
2012-02-01,458
2012-03-01,679
2012-04-01,684
2012-05-01,968
2012-06-01,928
2012-07-01,989
2012-08-01,1285
2012-09-01,1049
2012-10-01,830
2012-11-01,561
2012-12-01,476
2013-01-01,512
2013-02-01,538
2013-03-01,731
2013-04-01,651
2013-05-01,779
2013-06-01,750
2013-07-01,888
2013-08-01,1056
2013-09-01,1010
2013-10-01,666
2013-11-01,504
2013-12-01,350
2014-01-01,497
2014-02-01,428
2014-03-01,561
2014-04-01,724
2014-05-01,856
2014-06-01,1046
2014-07-01,840
2014-08-01,1016
2014-09-01,1024
2014-10-01,847
2014-11-01,560
2014-12-01,424
2015-01-01,409
2015-02-01,460
2015-03-01,608
2015-04-01,580
2015-05-01,912
2015-06-01,842
2015-07-01,813
2015-08-01,1064
2015-09-01,937
2015-10-01,634
2015-11-01,541
2015-12-01,343
2016-01-01,509
2016-02-01,511
2016-03-01,610
2016-04-01,674
2016-05-01,952
2016-06-01,887
2016-07-01,944
2016-08-01,950
2016-09-01,939
2016-10-01,716
2016-11-01,645
2016-12-01,424
2017-01-01,534
2017-02-01,559
2017-03-01,678
2017-04-01,948
2017-05-01,843
2017-06-01,766
2017-07-01,883
2017-08-01,1076
2017-09-01,1080
2017-10-01,704
2017-11-01,621
2017-12-01,395
2018-01-01,525
2018-02-01,487
2018-03-01,716
2018-04-01,610
2018-05-01,750
2018-06-01,822
2018-07-01,1032
2018-08-01,1009
2018-09-01,996
2018-10-01,714
2018-11-01,555
2018-12-01,498
2019-01-01,526
2019-02-01,462
2019-03-01,544
2019-04-01,709
2019-05-01,892
2019-06-01,805
2019-07-01,981
2019-08-01,1067
2019-09-01,998
2019-10-01,745
2019-11-01,617
2019-12-01,418
2020-01-01,653
2020-02-01,498
2020-03-01,180
2020-04-01,12
2020-05-01,41
2020-06-01,335
2020-07-01,691
2020-08-01,889
2020-09-01,501
2020-10-01,230
2020-11-01,229
2020-12-01,100
2021-01-01,70
2021-02-01,95
2021-03-01,134
2021-04-01,189
2021-05-01,237
2021-06-01,479
2021-07-01,764
2021-08-01,1028
2021-09-01,769
2021-10-01,667
2021-11-01,504
2021-12-01,271
2022-01-01,240
2022-02-01,283
2022-03-01,474
2022-04-01,560
2022-05-01,868
2022-06-01,821
2022-07-01,1034
2022-08-01,1149
2022-09-01,1080
2022-10-01,751
2022-11-01,609
2022-12-01,384
2023-01-01,570
2023-02-01,452
2023-03-01,526
2023-04-01,652
2023-05-01,761
2023-06-01,861
2023-07-01,1137
2023-08-01,1196
2023-09-01,1054
2023-10-01,651
2023-11-01,678
2023-12-01,381
2024-01-01,402
2024-02-01,463
2024-03-01,745
2024-04-01,628
2024-05-01,838
2024-06-01,798
2024-07-01,989
2024-08-01,1151
2024-09-01,902
2024-10-01,771
2024-11-01,640
2024-12-01,453
2025-01-01,595
2025-02-01,550
2025-03-01,570
2025-04-01,707
2025-05-01,863
2025-06-01,983
2025-07-01,1031
2025-08-01,1342
2025-09-01,1042
2025-10-01,807
2025-11-01,583
2025-12-01,525
2026-01-01,502
2026-02-01,537
2026-03-01,631
