time,value
2005-01-01,210
2005-02-01,170
2005-03-01,158
2005-04-01,69
2005-05-01,173
2005-06-01,233
2005-07-01,168
2005-08-01,301
2005-09-01,98
2005-10-01,140
2005-11-01,80
2005-12-01,240
2006-01-01,252
2006-02-01,216
2006-03-01,179
2006-04-01,232
2006-05-01,100
2006-06-01,336
2006-07-01,355
2006-08-01,326
2006-09-01,332
2006-10-01,201
2006-11-01,170
2006-12-01,294
2007-01-01,180
2007-02-01,267
2007-03-01,172
2007-04-01,312
2007-05-01,190
2007-06-01,185
2007-07-01,490
2007-08-01,787
2007-09-01,414
2007-10-01,349
2007-11-01,163
2007-12-01,266
2008-01-01,150
2008-02-01,189
2008-03-01,306
2008-04-01,165
2008-05-01,286
2008-06-01,181
2008-07-01,927
2008-08-01,778
2008-09-01,162
2008-10-01,118
2008-11-01,275
2008-12-01,290
2009-01-01,323
2009-02-01,269
2009-03-01,262
2009-04-01,102
2009-05-01,80
2009-06-01,386
2009-07-01,262
2009-08-01,308
2009-09-01,289
2009-10-01,339
2009-11-01,142
2009-12-01,241
2010-01-01,355
2010-02-01,265
2010-03-01,286
2010-04-01,213
2010-05-01,214
2010-06-01,339
2010-07-01,1485
2010-08-01,829
2010-09-01,289
2010-10-01,142
2010-11-01,175
2010-12-01,99
2011-01-01,289
2011-02-01,368
2011-03-01,280
2011-04-01,273
2011-05-01,355
2011-06-01,102
2011-07-01,3859
2011-08-01,398
2011-09-01,721
2011-10-01,349
2011-11-01,90
2011-12-01,83
2012-01-01,277
2012-02-01,218
2012-03-01,197
2012-04-01,168
2012-05-01,201
2012-06-01,499
2012-07-01,708
2012-08-01,613
2012-09-01,443
2012-10-01,262
2012-11-01,171
2012-12-01,244
2013-01-01,459
2013-02-01,282
2013-03-01,342
2013-04-01,348
2013-05-01,336
2013-06-01,592
2013-07-01,670
2013-08-01,1218
2013-09-01,668
2013-10-01,656
2013-11-01,429
2013-12-01,341
2014-01-01,1345
2014-02-01,320
2014-03-01,229
2014-04-01,309
2014-05-01,261
2014-06-01,925
2014-07-01,429
2014-08-01,2072
2014-09-01,838
2014-10-01,560
2014-11-01,165
2014-12-01,315
2015-01-01,204
2015-02-01,295
2015-03-01,326
2015-04-01,265
2015-05-01,273
2015-06-01,245
2015-07-01,807
2015-08-01,865
2015-09-01,510
2015-10-01,359
2015-11-01,316
2015-12-01,575
2016-01-01,544
2016-02-01,593
2016-03-01,337
2016-04-01,204
2016-05-01,290
2016-06-01,263
2016-07-01,548
2016-08-01,1359
2016-09-01,593
2016-10-01,368
2016-11-01,184
2016-12-01,299
2017-01-01,346
2017-02-01,313
2017-03-01,367
2017-04-01,301
2017-05-01,387
2017-06-01,241
2017-07-01,826
2017-08-01,1075
2017-09-01,405
2017-10-01,355
2017-11-01,163
2017-12-01,227
2018-01-01,248
2018-02-01,542
2018-03-01,408
2018-04-01,369
2018-05-01,610
2018-06-01,964
2018-07-01,1670
2018-08-01,1590
2018-09-01,767
2018-10-01,513
2018-11-01,232
2018-12-01,321
2019-01-01,628
2019-02-01,580
2019-03-01,345
2019-04-01,523
2019-05-01,382
2019-06-01,1045
2019-07-01,1696
2019-08-01,1466
2019-09-01,769
2019-10-01,633
2019-11-01,270
2019-12-01,285
2020-01-01,396
2020-02-01,825
2020-03-01,81
2020-04-01,5
2020-05-01,15
2020-06-01,102
2020-07-01,123
2020-08-01,151
2020-09-01,87
2020-10-01,44
2020-11-01,133
2020-12-01,48
2021-01-01,82
2021-02-01,60
2021-03-01,38
2021-04-01,13
2021-05-01,37
2021-06-01,97
2021-07-01,298
2021-08-01,552
2021-09-01,369
2021-10-01,412
2021-11-01,201
2021-12-01,484
2022-01-01,174
2022-02-01,347
2022-03-01,287
2022-04-01,204
2022-05-01,594
2022-06-01,599
2022-07-01,1887
2022-08-01,1859
2022-09-01,1327
2022-10-01,798
2022-11-01,503
2022-12-01,1055
2023-01-01,501
2023-02-01,913
2023-03-01,610
2023-04-01,654
2023-05-01,869
2023-06-01,1414
2023-07-01,1586
2023-08-01,2179
2023-09-01,1614
2023-10-01,1174
2023-11-01,420
2023-12-01,509
2024-01-01,452
2024-02-01,734
2024-03-01,554
2024-04-01,784
