time,value
2005-01-01,3562
2005-02-01,4002
2005-03-01,6055
2005-04-01,5159
2005-05-01,7614
2005-06-01,7753
2005-07-01,9156
2005-08-01,7504
2005-09-01,9841
2005-10-01,6891
2005-11-01,4598
2005-12-01,3862
2006-01-01,4979
2006-02-01,4942
2006-03-01,7029
2006-04-01,5972
2006-05-01,9402
2006-06-01,9324
2006-07-01,10198
2006-08-01,8375
2006-09-01,11008
2006-10-01,7923
2006-11-01,4934
2006-12-01,4645
2007-01-01,5345
2007-02-01,5167
2007-03-01,7710
2007-04-01,6879
2007-05-01,8789
2007-06-01,10179
2007-07-01,11555
2007-08-01,8890
2007-09-01,11172
2007-10-01,8701
2007-11-01,5560
2007-12-01,4466
2008-01-01,5285
2008-02-01,5144
2008-03-01,7931
2008-04-01,7025
2008-05-01,9810
2008-06-01,9741
2008-07-01,11253
2008-08-01,9442
2008-09-01,11286
2008-10-01,8446
2008-11-01,5104
2008-12-01,4377
2009-01-01,5021
2009-02-01,4443
2009-03-01,6429
2009-04-01,6264
2009-05-01,9060
2009-06-01,10637
2009-07-01,10835
2009-08-01,9579
2009-09-01,11554
2009-10-01,8061
2009-11-01,4952
2009-12-01,4387
2010-01-01,5133
2010-02-01,4876
2010-03-01,7056
2010-04-01,6378
2010-05-01,9591
2010-06-01,11501
2010-07-01,12112
2010-08-01,10164
2010-09-01,13539
2010-10-01,8827
2010-11-01,5133
2010-12-01,4462
2011-01-01,5526
2011-02-01,5696
2011-03-01,7673
2011-04-01,7164
2011-05-01,9842
2011-06-01,11294
2011-07-01,12919
2011-08-01,10391
2011-09-01,12088
2011-10-01,7204
2011-11-01,4989
2011-12-01,4723
2012-01-01,4626
2012-02-01,5059
2012-03-01,7726
2012-04-01,7406
2012-05-01,10300
2012-06-01,10945
2012-07-01,12917
2012-08-01,10713
2012-09-01,13764
2012-10-01,8769
2012-11-01,4544
2012-12-01,4581
2013-01-01,5058
2013-02-01,4921
2013-03-01,7838
2013-04-01,7057
2013-05-01,9814
2013-06-01,11543
2013-07-01,12526
2013-08-01,12586
2013-09-01,13639
2013-10-01,8198
2013-11-01,4927
2013-12-01,5182
2014-01-01,5354
2014-02-01,5047
2014-03-01,7805
2014-04-01,6872
2014-05-01,10490
2014-06-01,11400
2014-07-01,12666
2014-08-01,11953
2014-09-01,13839
2014-10-01,8461
2014-11-01,5183
2014-12-01,4798
2015-01-01,5413
2015-02-01,5186
2015-03-01,7101
2015-04-01,7569
2015-05-01,10405
2015-06-01,11868
2015-07-01,13022
2015-08-01,12213
2015-09-01,13827
2015-10-01,8273
2015-11-01,4914
2015-12-01,4653
2016-01-01,5323
2016-02-01,5596
2016-03-01,7089
2016-04-01,6929
2016-05-01,9667
2016-06-01,11771
2016-07-01,12303
2016-08-01,12142
2016-09-01,13522
2016-10-01,8838
2016-11-01,5189
2016-12-01,5165
2017-01-01,5719
2017-02-01,5681
2017-03-01,7737
2017-04-01,7561
2017-05-01,10920
2017-06-01,12808
2017-07-01,14127
2017-08-01,14063
2017-09-01,15859
2017-10-01,9418
2017-11-01,5869
2017-12-01,5418
2018-01-01,6025
2018-02-01,5730
2018-03-01,8069
2018-04-01,7236
2018-05-01,10947
2018-06-01,13245
2018-07-01,16197
2018-08-01,16584
2018-09-01,18198
2018-10-01,11721
2018-11-01,6178
2018-12-01,6068
2019-01-01,6074
2019-02-01,5833
2019-03-01,8363
2019-04-01,7924
2019-05-01,12132
2019-06-01,15280
2019-07-01,17372
2019-08-01,16764
2019-09-01,18582
2019-10-01,10464
2019-11-01,6250
2019-12-01,6466
2020-01-01,6515
2020-02-01,5961
2020-03-01,2827
2020-04-01,48
2020-05-01,137
2020-06-01,266
2020-07-01,977
2020-08-01,1548
2020-09-01,1557
2020-10-01,1091
2020-11-01,467
2020-12-01,423
2021-01-01,441
2021-02-01,392
2021-03-01,548
2021-04-01,445
2021-05-01,490
2021-06-01,591
2021-07-01,1632
2021-08-01,3569
2021-09-01,4443
2021-10-01,4128
2021-11-01,2927
2021-12-01,2134
2022-01-01,2107
2022-02-01,2441
2022-03-01,4632
2022-04-01,4457
2022-05-01,8742
2022-06-01,11987
2022-07-01,14963
2022-08-01,15666
2022-09-01,16231
2022-10-01,10582
2022-11-01,6106
2022-12-01,6022
2023-01-01,5981
2023-02-01,5822
2023-03-01,8399
2023-04-01,8444
2023-05-01,14633
2023-06-01,16477
2023-07-01,19283
2023-08-01,19728
2023-09-01,21339
2023-10-01,13724
2023-11-01,7237
2023-12-01,7193
2024-01-01,6256
2024-02-01,5826
2024-03-01,8965
2024-04-01,8985
2024-05-01,16710
2024-06-01,17504
2024-07-01,20318
2024-08-01,20396
2024-09-01,22316
2024-10-01,13998
2024-11-01,7021
2024-12-01,8264
2025-01-01,7396
2025-02-01,7573
2025-03-01,10882
