time,value
2005-01-01,426
2005-02-01,199
2005-03-01,519
2005-04-01,343
2005-05-01,634
2005-06-01,569
2005-07-01,913
2005-08-01,930
2005-09-01,398
2005-10-01,393
2005-11-01,360
2005-12-01,141
2006-01-01,340
2006-02-01,276
2006-03-01,372
2006-04-01,298
2006-05-01,837
2006-06-01,1030
2006-07-01,1066
2006-08-01,973
2006-09-01,583
2006-10-01,434
2006-11-01,458
2006-12-01,274
2007-01-01,288
2007-02-01,283
2007-03-01,587
2007-04-01,310
2007-05-01,472
2007-06-01,1021
2007-07-01,1225
2007-08-01,1049
2007-09-01,939
2007-10-01,442
2007-11-01,398
2007-12-01,340
2008-01-01,333
2008-02-01,465
2008-03-01,802
2008-04-01,471
2008-05-01,1119
2008-06-01,2839
2008-07-01,1291
2008-08-01,1469
2008-09-01,997
2008-10-01,704
2008-11-01,535
2008-12-01,346
2009-01-01,286
2009-02-01,351
2009-03-01,760
2009-04-01,473
2009-05-01,956
2009-06-01,1052
2009-07-01,938
2009-08-01,1419
2009-09-01,1461
2009-10-01,713
2009-11-01,540
2009-12-01,264
2010-01-01,354
2010-02-01,415
2010-03-01,628
2010-04-01,523
2010-05-01,741
2010-06-01,700
2010-07-01,1892
2010-08-01,1658
2010-09-01,1100
2010-10-01,720
2010-11-01,688
2010-12-01,254
2011-01-01,388
2011-02-01,434
2011-03-01,597
2011-04-01,387
2011-05-01,663
2011-06-01,873
2011-07-01,998
2011-08-01,971
2011-09-01,769
2011-10-01,399
2011-11-01,461
2011-12-01,248
2012-01-01,344
2012-02-01,518
2012-03-01,707
2012-04-01,432
2012-05-01,703
2012-06-01,1093
2012-07-01,1030
2012-08-01,1431
2012-09-01,778
2012-10-01,559
2012-11-01,346
2012-12-01,288
2013-01-01,297
2013-02-01,344
2013-03-01,756
2013-04-01,389
2013-05-01,448
2013-06-01,904
2013-07-01,1072
2013-08-01,1041
2013-09-01,808
2013-10-01,420
2013-11-01,422
2013-12-01,223
2014-01-01,375
2014-02-01,373
2014-03-01,539
2014-04-01,349
2014-05-01,734
2014-06-01,1132
2014-07-01,1120
2014-08-01,1402
2014-09-01,774
2014-10-01,387
2014-11-01,241
2014-12-01,224
2015-01-01,311
2015-02-01,260
2015-03-01,404
2015-04-01,353
2015-05-01,440
2015-06-01,1120
2015-07-01,926
2015-08-01,1479
2015-09-01,1014
2015-10-01,390
2015-11-01,416
2015-12-01,224
2016-01-01,332
2016-02-01,352
2016-03-01,608
2016-04-01,682
2016-05-01,691
2016-06-01,1037
2016-07-01,1072
2016-08-01,1646
2016-09-01,638
2016-10-01,519
2016-11-01,554
2016-12-01,310
2017-01-01,416
2017-02-01,379
2017-03-01,747
2017-04-01,516
2017-05-01,718
2017-06-01,1085
2017-07-01,1279
2017-08-01,1575
2017-09-01,867
2017-10-01,579
2017-11-01,449
2017-12-01,303
2018-01-01,440
2018-02-01,544
2018-03-01,771
2018-04-01,685
2018-05-01,1180
2018-06-01,1140
2018-07-01,1433
2018-08-01,1472
2018-09-01,805
2018-10-01,637
2018-11-01,600
2018-12-01,436
2019-01-01,372
2019-02-01,484
2019-03-01,693
2019-04-01,562
2019-05-01,1069
2019-06-01,1115
2019-07-01,1434
2019-08-01,1522
2019-09-01,1069
2019-10-01,1038
2019-11-01,647
2019-12-01,419
2020-01-01,497
2020-02-01,547
2020-03-01,153
2020-04-01,30
2020-05-01,44
2020-06-01,102
2020-07-01,574
2020-08-01,466
2020-09-01,191
2020-10-01,105
2020-11-01,49
2020-12-01,75
2021-01-01,106
2021-02-01,37
2021-03-01,66
2021-04-01,80
2021-05-01,137
2021-06-01,208
2021-07-01,686
2021-08-01,816
2021-09-01,463
2021-10-01,574
2021-11-01,320
2021-12-01,157
2022-01-01,136
2022-02-01,218
2022-03-01,370
2022-04-01,410
2022-05-01,425
2022-06-01,601
2022-07-01,897
2022-08-01,814
2022-09-01,845
2022-10-01,601
2022-11-01,308
2022-12-01,137
2023-01-01,222
2023-02-01,289
2023-03-01,440
2023-04-01,315
2023-05-01,445
2023-06-01,719
2023-07-01,976
2023-08-01,1086
2023-09-01,916
2023-10-01,741
2023-11-01,384
2023-12-01,238
