time,value
2005-01-01,136
2005-02-01,117
2005-03-01,227
2005-04-01,266
2005-05-01,682
2005-06-01,979
2005-07-01,1629
2005-08-01,2077
2005-09-01,1673
2005-10-01,1018
2005-11-01,172
2005-12-01,144
2006-01-01,137
2006-02-01,104
2006-03-01,118
2006-04-01,359
2006-05-01,581
2006-06-01,1111
2006-07-01,2032
2006-08-01,1697
2006-09-01,2560
2006-10-01,1367
2006-11-01,136
2006-12-01,233
2007-01-01,140
2007-02-01,123
2007-03-01,180
2007-04-01,414
2007-05-01,673
2007-06-01,1407
2007-07-01,2483
2007-08-01,2612
2007-09-01,2089
2007-10-01,1040
2007-11-01,150
2007-12-01,194
2008-01-01,118
2008-02-01,145
2008-03-01,176
2008-04-01,242
2008-05-01,894
2008-06-01,1154
2008-07-01,2109
2008-08-01,3243
2008-09-01,1963
2008-10-01,1168
2008-11-01,168
2008-12-01,235
2009-01-01,131
2009-02-01,127
2009-03-01,150
2009-04-01,370
2009-05-01,1006
2009-06-01,1372
2009-07-01,2512
2009-08-01,3380
2009-09-01,2717
2009-10-01,1107
2009-11-01,126
2009-12-01,227
2010-01-01,105
2010-02-01,137
2010-03-01,122
2010-04-01,276
2010-05-01,935
2010-06-01,1191
2010-07-01,2182
2010-08-01,2676
2010-09-01,2257
2010-10-01,1199
2010-11-01,161
2010-12-01,190
2011-01-01,115
2011-02-01,102
2011-03-01,140
2011-04-01,322
2011-05-01,699
2011-06-01,1463
2011-07-01,1875
2011-08-01,2352
2011-09-01,2002
2011-10-01,1150
2011-11-01,166
2011-12-01,149
2012-01-01,122
2012-02-01,186
2012-03-01,153
2012-04-01,235
2012-05-01,557
2012-06-01,1205
2012-07-01,1248
2012-08-01,2403
2012-09-01,1659
2012-10-01,1085
2012-11-01,239
2012-12-01,240
2013-01-01,173
2013-02-01,118
2013-03-01,220
2013-04-01,234
2013-05-01,590
2013-06-01,914
2013-07-01,1675
2013-08-01,2247
2013-09-01,1442
2013-10-01,871
2013-11-01,263
2013-12-01,215
2014-01-01,99
2014-02-01,190
2014-03-01,133
2014-04-01,281
2014-05-01,569
2014-06-01,1422
2014-07-01,1578
2014-08-01,2072
2014-09-01,1566
2014-10-01,1319
2014-11-01,227
2014-12-01,172
2015-01-01,162
2015-02-01,109
2015-03-01,185
2015-04-01,181
2015-05-01,487
2015-06-01,968
2015-07-01,1599
2015-08-01,1813
2015-09-01,890
2015-10-01,784
2015-11-01,140
2015-12-01,184
2016-01-01,133
2016-02-01,130
2016-03-01,157
2016-04-01,202
2016-05-01,480
2016-06-01,523
2016-07-01,1570
2016-08-01,1976
2016-09-01,1036
2016-10-01,516
2016-11-01,147
2016-12-01,151
2017-01-01,108
2017-02-01,82
2017-03-01,91
2017-04-01,183
2017-05-01,550
2017-06-01,997
2017-07-01,1292
2017-08-01,1979
2017-09-01,1106
2017-10-01,829
2017-11-01,108
2017-12-01,137
2018-01-01,48
2018-02-01,83
2018-03-01,97
2018-04-01,230
2018-05-01,510
2018-06-01,1018
2018-07-01,1965
2018-08-01,2053
2018-09-01,1403
2018-10-01,1066
2018-11-01,219
2018-12-01,138
2019-01-01,99
2019-02-01,101
2019-03-01,118
2019-04-01,166
2019-05-01,342
2019-06-01,1092
2019-07-01,1559
2019-08-01,2071
2019-09-01,1550
2019-10-01,877
2019-11-01,151
2019-12-01,116
2020-01-01,135
2020-02-01,125
2020-03-01,27
2020-04-01,5
2020-05-01,12
2020-06-01,331
2020-07-01,1338
2020-08-01,1414
2020-09-01,872
2020-10-01,239
2020-11-01,52
2020-12-01,18
2021-01-01,25
2021-02-01,29
2021-03-01,48
