time,value
2005-01-01,47852
2005-02-01,63037
2005-03-01,64401
2005-04-01,46265
2005-05-01,54016
2005-06-01,74431
2005-07-01,77466
2005-08-01,77873
2005-09-01,67069
2005-10-01,43255
2005-11-01,41683
2005-12-01,51807
2006-01-01,56444
2006-02-01,72055
2006-03-01,70737
2006-04-01,55162
2006-05-01,59264
2006-06-01,77015
2006-07-01,84784
2006-08-01,87403
2006-09-01,74310
2006-10-01,50516
2006-11-01,38535
2006-12-01,58738
2007-01-01,57872
2007-02-01,76305
2007-03-01,75598
2007-04-01,56278
2007-05-01,66561
2007-06-01,84351
2007-07-01,85551
2007-08-01,90484
2007-09-01,76204
2007-10-01,57063
2007-11-01,41876
2007-12-01,66640
2008-01-01,64748
2008-02-01,82309
2008-03-01,85736
2008-04-01,57745
2008-05-01,72999
2008-06-01,76287
2008-07-01,86636
2008-08-01,84913
2008-09-01,77250
2008-10-01,48020
2008-11-01,35938
2008-12-01,53138
2009-01-01,53636
2009-02-01,65594
2009-03-01,61323
2009-04-01,48590
2009-05-01,51515
2009-06-01,66242
2009-07-01,72996
2009-08-01,72960
2009-09-01,67761
2009-10-01,43340
2009-11-01,37362
2009-12-01,50090
2010-01-01,53743
2010-02-01,65129
2010-03-01,64830
2010-04-01,48813
2010-05-01,54720
2010-06-01,74863
2010-07-01,82055
2010-08-01,77856
2010-09-01,75843
2010-10-01,47113
2010-11-01,38290
2010-12-01,48795
2011-01-01,52708
2011-02-01,63996
2011-03-01,58315
2011-04-01,50759
2011-05-01,54275
2011-06-01,68252
2011-07-01,74287
2011-08-01,70364
2011-09-01,65709
2011-10-01,42093
2011-11-01,36363
2011-12-01,44996
2012-01-01,48177
2012-02-01,56747
2012-03-01,59293
2012-04-01,45663
2012-05-01,51698
2012-06-01,64430
2012-07-01,71598
2012-08-01,68030
2012-09-01,65209
2012-10-01,44882
2012-11-01,36520
2012-12-01,47043
2013-01-01,48099
2013-02-01,56512
2013-03-01,60726
2013-04-01,49766
2013-05-01,55896
2013-06-01,71183
2013-07-01,78903
2013-08-01,75841
2013-09-01,67269
2013-10-01,43900
2013-11-01,38644
2013-12-01,51636
2014-01-01,49459
2014-02-01,59828
2014-03-01,59532
2014-04-01,50482
2014-05-01,53773
2014-06-01,71333
2014-07-01,79430
2014-08-01,78149
2014-09-01,69860
2014-10-01,47542
2014-11-01,37934
2014-12-01,54273
2015-01-01,48368
2015-02-01,61955
2015-03-01,59243
2015-04-01,45801
2015-05-01,53424
2015-06-01,73545
2015-07-01,81718
2015-08-01,76511
2015-09-01,70528
2015-10-01,46150
2015-11-01,41179
2015-12-01,51503
2016-01-01,48305
2016-02-01,64031
2016-03-01,64156
2016-04-01,47932
2016-05-01,58614
2016-06-01,70808
2016-07-01,78383
2016-08-01,72274
2016-09-01,65415
2016-10-01,43840
2016-11-01,37905
2016-12-01,52270
2017-01-01,48203
2017-02-01,58369
2017-03-01,61655
2017-04-01,49487
2017-05-01,56518
2017-06-01,71939
2017-07-01,75750
2017-08-01,74160
2017-09-01,69619
2017-10-01,48439
2017-11-01,40736
2017-12-01,53318
2018-01-01,49468
2018-02-01,61734
2018-03-01,68322
2018-04-01,49334
2018-05-01,55289
2018-06-01,73451
2018-07-01,76694
2018-08-01,78421
2018-09-01,71475
2018-10-01,45825
2018-11-01,37927
2018-12-01,52555
2019-01-01,48502
2019-02-01,62286
2019-03-01,60817
2019-04-01,50331
2019-05-01,58661
2019-06-01,71916
2019-07-01,80474
2019-08-01,75596
2019-09-01,71068
2019-10-01,48659
2019-11-01,36945
2019-12-01,52837
2020-01-01,50300
2020-02-01,62834
2020-03-01,18493
2020-04-01,341
2020-05-01,1010
2020-06-01,3474
2020-07-01,13960
2020-08-01,24403
2020-09-01,9089
2020-10-01,4061
2020-11-01,2948
