time,value
2005-01-01,32230
2005-02-01,39916
2005-03-01,37596
2005-04-01,37504
2005-05-01,49916
2005-06-01,50322
2005-07-01,66213
2005-08-01,64860
2005-09-01,56344
2005-10-01,51988
2005-11-01,32963
2005-12-01,32544
2006-01-01,35674
2006-02-01,44752
2006-03-01,41083
2006-04-01,43590
2006-05-01,48458
2006-06-01,56478
2006-07-01,67111
2006-08-01,63589
2006-09-01,60042
2006-10-01,50823
2006-11-01,34284
2006-12-01,33942
2007-01-01,34619
2007-02-01,42740
2007-03-01,39870
2007-04-01,46171
2007-05-01,53727
2007-06-01,62445
2007-07-01,74725
2007-08-01,78289
2007-09-01,65575
2007-10-01,57953
2007-11-01,35841
2007-12-01,39769
2008-01-01,43871
2008-02-01,54617
2008-03-01,46776
2008-04-01,46307
2008-05-01,64416
2008-06-01,62820
2008-07-01,72847
2008-08-01,76305
2008-09-01,65995
2008-10-01,57995
2008-11-01,34492
2008-12-01,37797
2009-01-01,42028
2009-02-01,49129
2009-03-01,39497
2009-04-01,44292
2009-05-01,55668
2009-06-01,56766
2009-07-01,69209
2009-08-01,73576
2009-09-01,62138
2009-10-01,55938
2009-11-01,34211
2009-12-01,37781
2010-01-01,37612
2010-02-01,48460
2010-03-01,40834
2010-04-01,46669
2010-05-01,59105
2010-06-01,65958
2010-07-01,74173
2010-08-01,78900
2010-09-01,66563
2010-10-01,56365
2010-11-01,35993
2010-12-01,34991
2011-01-01,39916
2011-02-01,45124
2011-03-01,42867
2011-04-01,48543
2011-05-01,55307
2011-06-01,69638
2011-07-01,75528
2011-08-01,72324
2011-09-01,61756
2011-10-01,56493
2011-11-01,37986
2011-12-01,35126
2012-01-01,38737
2012-02-01,46097
2012-03-01,36461
2012-04-01,45750
2012-05-01,55239
2012-06-01,56671
2012-07-01,62228
2012-08-01,63625
2012-09-01,58644
2012-10-01,56046
2012-11-01,37163
2012-12-01,37983
2013-01-01,38436
2013-02-01,45863
2013-03-01,41489
2013-04-01,45157
2013-05-01,53836
2013-06-01,57925
2013-07-01,66096
2013-08-01,72778
2013-09-01,57856
2013-10-01,54163
2013-11-01,36225
2013-12-01,35261
2014-01-01,34671
2014-02-01,41300
2014-03-01,40545
2014-04-01,44325
2014-05-01,52507
2014-06-01,57442
2014-07-01,62760
2014-08-01,72263
2014-09-01,56121
2014-10-01,56983
2014-11-01,37051
2014-12-01,36963
2015-01-01,37645
2015-02-01,45455
2015-03-01,38048
2015-04-01,44057
2015-05-01,54326
2015-06-01,57898
2015-07-01,63761
2015-08-01,71215
2015-09-01,55323
2015-10-01,54217
2015-11-01,34137
2015-12-01,35087
2016-01-01,32686
2016-02-01,43995
2016-03-01,39965
2016-04-01,42815
2016-05-01,48847
2016-06-01,50603
2016-07-01,60681
2016-08-01,62128
2016-09-01,49435
2016-10-01,52214
2016-11-01,34332
2016-12-01,30061
2017-01-01,33763
2017-02-01,41884
2017-03-01,35028
2017-04-01,41995
2017-05-01,45615
2017-06-01,53242
2017-07-01,58558
2017-08-01,58665
2017-09-01,48241
2017-10-01,52768
2017-11-01,32083
2017-12-01,32657
2018-01-01,35028
2018-02-01,43095
2018-03-01,38167
2018-04-01,41878
2018-05-01,53248
2018-06-01,58153
2018-07-01,61409
2018-08-01,62076
2018-09-01,50687
2018-10-01,50812
2018-11-01,35075
2018-12-01,34905
2019-01-01,34576
2019-02-01,42282
2019-03-01,38149
2019-04-01,44374
2019-05-01,51392
2019-06-01,59616
2019-07-01,63997
2019-08-01,64218
2019-09-01,49788
2019-10-01,50878
2019-11-01,34417
2019-12-01,33162
2020-01-01,34927
2020-02-01,40030
2020-03-01,13332
2020-04-01,2170
2020-05-01,18469
2020-06-01,33628
2020-07-01,61831
2020-08-01,57578
2020-09-01,50240
2020-10-01,44993
2020-11-01,22254
2020-12-01,25311
2021-01-01,24019
2021-02-01,38467
2021-03-01,36000
2021-04-01,48739
2021-05-01,54457
2021-06-01,49970
2021-07-01,62484
2021-08-01,66234
2021-09-01,50718
2021-10-01,54850
2021-11-01,35121
2021-12-01,39708
2022-01-01,29541
2022-02-01,42502
2022-03-01,40903
2022-04-01,47794
2022-05-01,46336
2022-06-01,55648
2022-07-01,66299
2022-08-01,66654
2022-09-01,53570
2022-10-01,56778
2022-11-01,33768
2022-12-01,37590
2023-01-01,38259
2023-02-01,48288
2023-03-01,37949
2023-04-01,44979
2023-05-01,52286
2023-06-01,59686
2023-07-01,69707
2023-08-01,70048
2023-09-01,60564
2023-10-01,58449
2023-11-01,36192
2023-12-01,43257
2024-01-01,40963
2024-02-01,50753
2024-03-01,43920
2024-04-01,45843
2024-05-01,56372
2024-06-01,61776
2024-07-01,70219
2024-08-01,72499
2024-09-01,57753
2024-10-01,55591
2024-11-01,40084
2024-12-01,40280
2025-01-01,39907
2025-02-01,45989
2025-03-01,40641
2025-04-01,44365
2025-05-01,54154
2025-06-01,60267
2025-07-01,69783
