time,value
2005-01-01,928
2005-02-01,1143
2005-03-01,1547
2005-04-01,1466
2005-05-01,3010
2005-06-01,3110
2005-07-01,2861
2005-08-01,2968
2005-09-01,3411
2005-10-01,2893
2005-11-01,1069
2005-12-01,734
2006-01-01,1537
2006-02-01,1881
2006-03-01,1914
2006-04-01,2342
2006-05-01,3339
2006-06-01,2224
2006-07-01,2833
2006-08-01,2846
2006-09-01,3657
2006-10-01,2482
2006-11-01,1387
2006-12-01,977
2007-01-01,1363
2007-02-01,1622
2007-03-01,1455
2007-04-01,1751
2007-05-01,2999
2007-06-01,2901
2007-07-01,2724
2007-08-01,2544
2007-09-01,2901
2007-10-01,2658
2007-11-01,1661
2007-12-01,1338
2008-01-01,1518
2008-02-01,1585
2008-03-01,1683
2008-04-01,1748
2008-05-01,2872
2008-06-01,2413
2008-07-01,3086
2008-08-01,3226
2008-09-01,3122
2008-10-01,2131
2008-11-01,1115
2008-12-01,1162
2009-01-01,1656
2009-02-01,1076
2009-03-01,1741
2009-04-01,1807
2009-05-01,2356
2009-06-01,2383
2009-07-01,2827
2009-08-01,2774
2009-09-01,2615
2009-10-01,1910
2009-11-01,675
2009-12-01,1233
2010-01-01,2061
2010-02-01,1722
2010-03-01,1819
2010-04-01,1642
2010-05-01,2466
2010-06-01,2189
2010-07-01,2700
2010-08-01,2714
2010-09-01,2594
2010-10-01,1880
2010-11-01,810
2010-12-01,861
2011-01-01,1161
2011-02-01,1165
2011-03-01,1181
2011-04-01,1747
2011-05-01,1787
2011-06-01,1964
2011-07-01,1810
2011-08-01,2167
2011-09-01,1945
2011-10-01,1598
2011-11-01,672
2011-12-01,820
2012-01-01,1046
2012-02-01,1187
2012-03-01,1117
2012-04-01,1175
2012-05-01,1510
2012-06-01,1557
2012-07-01,1910
2012-08-01,2072
2012-09-01,1910
2012-10-01,1225
2012-11-01,951
2012-12-01,706
2013-01-01,889
2013-02-01,1032
2013-03-01,1203
2013-04-01,1009
2013-05-01,1426
2013-06-01,1271
2013-07-01,1589
2013-08-01,1962
2013-09-01,1716
2013-10-01,1309
2013-11-01,667
2013-12-01,650
2014-01-01,1007
2014-02-01,901
2014-03-01,941
2014-04-01,1099
2014-05-01,1534
2014-06-01,1306
2014-07-01,1401
2014-08-01,1912
2014-09-01,1716
2014-10-01,1341
2014-11-01,1160
2014-12-01,887
2015-01-01,801
2015-02-01,907
2015-03-01,1049
2015-04-01,1013
2015-05-01,1161
2015-06-01,1203
2015-07-01,1367
2015-08-01,1402
2015-09-01,1592
2015-10-01,1182
2015-11-01,619
2015-12-01,949
2016-01-01,1221
2016-02-01,997
2016-03-01,1346
2016-04-01,990
2016-05-01,1519
2016-06-01,1132
2016-07-01,1667
2016-08-01,2073
2016-09-01,1841
2016-10-01,1612
2016-11-01,692
2016-12-01,1034
2017-01-01,710
2017-02-01,963
2017-03-01,880
2017-04-01,1077
2017-05-01,1318
2017-06-01,1616
2017-07-01,1891
2017-08-01,2018
2017-09-01,1563
2017-10-01,1712
2017-11-01,1190
2017-12-01,1499
2018-01-01,1203
2018-02-01,1192
2018-03-01,1969
2018-04-01,1487
2018-05-01,1780
2018-06-01,2009
2018-07-01,2282
2018-08-01,2748
2018-09-01,2638
2018-10-01,1908
2018-11-01,1101
2018-12-01,1433
2019-01-01,1570
2019-02-01,1605
2019-03-01,1686
2019-04-01,2064
2019-05-01,1568
2019-06-01,1846
2019-07-01,1822
2019-08-01,1997
2019-09-01,1791
2019-10-01,1454
2019-11-01,777
2019-12-01,893
2020-01-01,1243
2020-02-01,1112
2020-03-01,296
2020-04-01,8
2020-05-01,43
2020-06-01,513
2020-07-01,1454
2020-08-01,1637
2020-09-01,1762
2020-10-01,710
2020-11-01,187
2020-12-01,351
2021-01-01,190
2021-02-01,326
2021-03-01,545
2021-04-01,564
2021-05-01,805
2021-06-01,1213
2021-07-01,1578
2021-08-01,2237
2021-09-01,1796
2021-10-01,1358
2021-11-01,580
2021-12-01,761
2022-01-01,621
2022-02-01,900
2022-03-01,1023
2022-04-01,1606
2022-05-01,1620
2022-06-01,2169
2022-07-01,2212
2022-08-01,2215
2022-09-01,2061
2022-10-01,1750
2022-11-01,867
2022-12-01,972
2023-01-01,1122
