time,value
2005-01-01,11296
2005-02-01,14430
2005-03-01,33332
2005-04-01,49251
2005-05-01,68018
2005-06-01,65657
2005-07-01,98139
2005-08-01,80466
2005-09-01,72575
2005-10-01,66837
2005-11-01,20969
2005-12-01,15337
2006-01-01,10625
2006-02-01,15355
2006-03-01,32511
2006-04-01,70588
2006-05-01,73519
2006-06-01,72567
2006-07-01,96132
2006-08-01,94463
2006-09-01,85855
2006-10-01,81664
2006-11-01,25896
2006-12-01,16720
2007-01-01,14060
2007-02-01,19900
2007-03-01,46581
2007-04-01,62249
2007-05-01,64038
2007-06-01,70274
2007-07-01,98079
2007-08-01,80965
2007-09-01,85784
2007-10-01,75884
2007-11-01,28269
2007-12-01,17351
2008-01-01,13598
2008-02-01,20106
2008-03-01,41709
2008-04-01,58731
2008-05-01,66205
2008-06-01,59223
2008-07-01,99438
2008-08-01,81879
2008-09-01,74793
2008-10-01,70896
2008-11-01,22239
2008-12-01,15726
2009-01-01,12523
2009-02-01,17023
2009-03-01,37273
2009-04-01,55595
2009-05-01,68381
2009-06-01,68462
2009-07-01,103800
2009-08-01,80340
2009-09-01,78412
2009-10-01,82070
2009-11-01,22360
2009-12-01,16464
2010-01-01,12087
2010-02-01,15992
2010-03-01,35557
2010-04-01,62783
2010-05-01,66239
2010-06-01,64847
2010-07-01,102933
2010-08-01,84463
2010-09-01,76135
2010-10-01,69608
2010-11-01,21069
2010-12-01,16199
2011-01-01,14625
2011-02-01,19398
2011-03-01,32859
2011-04-01,63692
2011-05-01,58675
2011-06-01,66057
2011-07-01,107143
2011-08-01,72157
2011-09-01,73347
2011-10-01,70533
2011-11-01,20915
2011-12-01,16387
2012-01-01,14150
2012-02-01,19503
2012-03-01,37656
2012-04-01,56616
2012-05-01,61157
2012-06-01,62476
2012-07-01,97962
2012-08-01,77889
2012-09-01,76192
2012-10-01,67142
2012-11-01,23481
2012-12-01,19069
2013-01-01,16065
2013-02-01,17336
2013-03-01,40115
2013-04-01,54815
2013-05-01,69074
2013-06-01,76110
2013-07-01,103704
2013-08-01,85945
2013-09-01,81588
2013-10-01,63546
2013-11-01,26463
2013-12-01,20402
2014-01-01,16145
2014-02-01,17513
2014-03-01,36447
2014-04-01,60520
2014-05-01,70924
2014-06-01,67178
2014-07-01,92992
2014-08-01,86361
2014-09-01,79883
2014-10-01,61924
2014-11-01,22149
2014-12-01,21317
2015-01-01,16767
2015-02-01,17633
2015-03-01,35700
2015-04-01,63381
2015-05-01,71325
2015-06-01,67144
2015-07-01,92031
2015-08-01,76745
2015-09-01,72461
2015-10-01,66277
2015-11-01,26899
2015-12-01,22330
2016-01-01,16021
2016-02-01,20508
2016-03-01,40532
2016-04-01,58203
2016-05-01,74224
2016-06-01,68303
2016-07-01,104474
2016-08-01,84683
2016-09-01,79899
2016-10-01,74001
2016-11-01,25402
2016-12-01,22901
2017-01-01,16091
2017-02-01,19767
2017-03-01,41116
2017-04-01,81626
2017-05-01,71389
2017-06-01,81799
2017-07-01,113286
2017-08-01,87029
2017-09-01,90400
2017-10-01,89625
2017-11-01,27166
2017-12-01,21794
2018-01-01,15878
2018-02-01,19090
2018-03-01,36495
2018-04-01,59463
2018-05-01,68179
2018-06-01,77942
2018-07-01,98282
2018-08-01,80173
2018-09-01,82887
2018-10-01,69076
2018-11-01,24318
2018-12-01,23991
2019-01-01,17028
2019-02-01,19930
2019-03-01,42555
2019-04-01,64418
2019-05-01,71122
2019-06-01,72352
2019-07-01,97464
2019-08-01,80089
2019-09-01,82759
2019-10-01,73572
2019-11-01,24253
2019-12-01,23984
2020-01-01,17821
2020-02-01,23733
2020-03-01,7272
2020-04-01,770
2020-05-01,25950
2020-06-01,69207
2020-07-01,128458
2020-08-01,105594
2020-09-01,111587
2020-10-01,100115
2020-11-01,29976
2020-12-01,17001
2021-01-01,12293
2021-02-01,27177
2021-03-01,62327
2021-04-01,124423
2021-05-01,131501
2021-06-01,112102
2021-07-01,130874
2021-08-01,121841
2021-09-01,101763
2021-10-01,102204
2021-11-01,31841
2021-12-01,28675
2022-01-01,21678
2022-02-01,35756
2022-03-01,47812
2022-04-01,82310
2022-05-01,80522
2022-06-01,85209
2022-07-01,105133
2022-08-01,83172
2022-09-01,89857
2022-10-01,80241
2022-11-01,27889
2022-12-01,23194
2023-01-01,18083
2023-02-01,27877
2023-03-01,49744
2023-04-01,80678
2023-05-01,70912
2023-06-01,77822
2023-07-01,96813
2023-08-01,79390
2023-09-01,81607
2023-10-01,66453
2023-11-01,31101
2023-12-01,25914
2024-01-01,18017
2024-02-01,25672
2024-03-01,42726
2024-04-01,68274
2024-05-01,73099
2024-06-01,74585
2024-07-01,92485
2024-08-01,79144
2024-09-01,83384
2024-10-01,65810
