time,value
2005-01-01,121
2005-02-01,132
2005-03-01,78
2005-04-01,95
2005-05-01,367
2005-06-01,110
2005-07-01,233
2005-08-01,144
2005-09-01,447
2005-10-01,297
2005-11-01,109
2005-12-01,84
2006-01-01,72
2006-02-01,84
2006-03-01,130
2006-04-01,185
2006-05-01,126
2006-06-01,120
2006-07-01,412
2006-08-01,251
2006-09-01,476
2006-10-01,387
2006-11-01,78
2006-12-01,191
2007-01-01,172
2007-02-01,201
2007-03-01,116
2007-04-01,225
2007-05-01,221
2007-06-01,116
2007-07-01,325
2007-08-01,269
2007-09-01,247
2007-10-01,234
2007-11-01,254
2007-12-01,91
2008-01-01,119
2008-02-01,90
2008-03-01,146
2008-04-01,138
2008-05-01,336
2008-06-01,565
2008-07-01,521
2008-08-01,439
2008-09-01,282
2008-10-01,207
2008-11-01,255
2008-12-01,150
2009-01-01,186
2009-02-01,157
2009-03-01,215
2009-04-01,222
2009-05-01,315
2009-06-01,379
2009-07-01,977
2009-08-01,681
2009-09-01,709
2009-10-01,708
2009-11-01,692
2009-12-01,118
2010-01-01,335
2010-02-01,326
2010-03-01,186
2010-04-01,408
2010-05-01,218
2010-06-01,310
2010-07-01,612
2010-08-01,382
2010-09-01,468
2010-10-01,364
2010-11-01,350
2010-12-01,115
2011-01-01,165
2011-02-01,103
2011-03-01,132
2011-04-01,278
2011-05-01,223
2011-06-01,265
2011-07-01,412
2011-08-01,313
2011-09-01,224
2011-10-01,281
2011-11-01,196
2011-12-01,94
2012-01-01,400
2012-02-01,564
2012-03-01,878
2012-04-01,753
2012-05-01,1109
2012-06-01,882
2012-07-01,757
2012-08-01,428
2012-09-01,380
2012-10-01,390
2012-11-01,152
2012-12-01,142
2013-01-01,234
2013-02-01,234
2013-03-01,158
2013-04-01,212
2013-05-01,642
2013-06-01,555
2013-07-01,718
2013-08-01,332
2013-09-01,639
2013-10-01,482
2013-11-01,172
2013-12-01,136
2014-01-01,171
2014-02-01,362
2014-03-01,210
2014-04-01,453
2014-05-01,354
2014-06-01,534
2014-07-01,1089
2014-08-01,858
2014-09-01,438
2014-10-01,591
2014-11-01,202
2014-12-01,222
2015-01-01,232
2015-02-01,200
2015-03-01,422
2015-04-01,421
2015-05-01,447
2015-06-01,275
2015-07-01,404
2015-08-01,547
2015-09-01,887
2015-10-01,982
2015-11-01,809
2015-12-01,400
2016-01-01,450
2016-02-01,428
2016-03-01,269
2016-04-01,545
2016-05-01,676
2016-06-01,304
2016-07-01,491
2016-08-01,641
2016-09-01,926
2016-10-01,1120
2016-11-01,853
2016-12-01,636
2017-01-01,300
2017-02-01,257
2017-03-01,470
2017-04-01,350
2017-05-01,551
2017-06-01,356
2017-07-01,703
2017-08-01,476
2017-09-01,446
2017-10-01,1079
2017-11-01,197
2017-12-01,169
2018-01-01,158
2018-02-01,142
2018-03-01,184
2018-04-01,327
2018-05-01,334
2018-06-01,392
2018-07-01,868
2018-08-01,395
2018-09-01,296
2018-10-01,485
2018-11-01,461
2018-12-01,126
2019-01-01,156
2019-02-01,304
2019-03-01,349
2019-04-01,350
2019-05-01,355
2019-06-01,482
2019-07-01,598
2019-08-01,900
2019-09-01,432
2019-10-01,437
2019-11-01,155
2019-12-01,241
2020-01-01,178
2020-02-01,177
2020-03-01,72
2020-04-01,12
2020-05-01,24
2020-06-01,63
2020-07-01,324
2020-08-01,417
2020-09-01,127
2020-10-01,26
2020-11-01,7
2020-12-01,33
2021-01-01,18
2021-02-01,28
2021-03-01,40
2021-04-01,41
2021-05-01,84
2021-06-01,240
2021-07-01,593
2021-08-01,881
2021-09-01,405
2021-10-01,345
2021-11-01,289
2021-12-01,127
2022-01-01,71
2022-02-01,135
2022-03-01,152
2022-04-01,399
2022-05-01,341
2022-06-01,480
2022-07-01,830
2022-08-01,776
2022-09-01,248
2022-10-01,347
2022-11-01,315
2022-12-01,189
2023-01-01,246
2023-02-01,284
2023-03-01,254
2023-04-01,352
2023-05-01,294
2023-06-01,567
2023-07-01,1306
2023-08-01,1026
2023-09-01,456
2023-10-01,325
2023-11-01,202
2023-12-01,174
2024-01-01,210
2024-02-01,288
2024-03-01,393
2024-04-01,351
2024-05-01,358
2024-06-01,626
2024-07-01,895
2024-08-01,901
2024-09-01,358
2024-10-01,477
2024-11-01,373
2024-12-01,250
2025-01-01,249
2025-02-01,284
2025-03-01,210
2025-04-01,248
