time,value
2005-01-01,132201
2005-02-01,136320
2005-03-01,148456
2005-04-01,113466
2005-05-01,143595
2005-06-01,198871
2005-07-01,247537
2005-08-01,234122
2005-09-01,195705
2005-10-01,160355
2005-11-01,97421
2005-12-01,112575
2006-01-01,143611
2006-02-01,148727
2006-03-01,152823
2006-04-01,126999
2006-05-01,156286
2006-06-01,211661
2006-07-01,262490
2006-08-01,245554
2006-09-01,225068
2006-10-01,164236
2006-11-01,100688
2006-12-01,122494
2007-01-01,131011
2007-02-01,143757
2007-03-01,155188
2007-04-01,135345
2007-05-01,165844
2007-06-01,225044
2007-07-01,266160
2007-08-01,260243
2007-09-01,224112
2007-10-01,168477
2007-11-01,109100
2007-12-01,129334
2008-01-01,146683
2008-02-01,162231
2008-03-01,168245
2008-04-01,123498
2008-05-01,182940
2008-06-01,206846
2008-07-01,262397
2008-08-01,271576
2008-09-01,210954
2008-10-01,161444
2008-11-01,102374
2008-12-01,124579
2009-01-01,148877
2009-02-01,148119
2009-03-01,149096
2009-04-01,131298
2009-05-01,166417
2009-06-01,201041
2009-07-01,257603
2009-08-01,279676
2009-09-01,220261
2009-10-01,162818
2009-11-01,99977
2009-12-01,126403
2010-01-01,145661
2010-02-01,153295
2010-03-01,153880
2010-04-01,125435
2010-05-01,172847
2010-06-01,225761
2010-07-01,281851
2010-08-01,279183
2010-09-01,228996
2010-10-01,171633
2010-11-01,108384
2010-12-01,128296
2011-01-01,154823
2011-02-01,148140
2011-03-01,155470
2011-04-01,144087
2011-05-01,176073
2011-06-01,246583
2011-07-01,282063
2011-08-01,277248
2011-09-01,243753
2011-10-01,180967
2011-11-01,113034
2011-12-01,123239
2012-01-01,156295
2012-02-01,154021
2012-03-01,162509
2012-04-01,133662
2012-05-01,189248
2012-06-01,238286
2012-07-01,271647
2012-08-01,283901
2012-09-01,235226
2012-10-01,183141
2012-11-01,120014
2012-12-01,135628
2013-01-01,144706
2013-02-01,158459
2013-03-01,174564
2013-04-01,140181
2013-05-01,192005
2013-06-01,254348
2013-07-01,301489
2013-08-01,319775
2013-09-01,245856
2013-10-01,189399
2013-11-01,126072
2013-12-01,139658
2014-01-01,159850
2014-02-01,159347
2014-03-01,184021
2014-04-01,152301
2014-05-01,201848
2014-06-01,252607
2014-07-01,288410
2014-08-01,319798
2014-09-01,253210
2014-10-01,209984
2014-11-01,126221
2014-12-01,145103
2015-01-01,160023
2015-02-01,179135
2015-03-01,174716
2015-04-01,160646
2015-05-01,208341
2015-06-01,260023
2015-07-01,324300
2015-08-01,334795
2015-09-01,263330
2015-10-01,212315
2015-11-01,129762
2015-12-01,141216
2016-01-01,153038
2016-02-01,171507
2016-03-01,179909
2016-04-01,155719
2016-05-01,210035
2016-06-01,245312
2016-07-01,321008
2016-08-01,328439
2016-09-01,263270
2016-10-01,204207
2016-11-01,128129
2016-12-01,144115
2017-01-01,168110
2017-02-01,174517
2017-03-01,187672
2017-04-01,185328
2017-05-01,229271
2017-06-01,284105
2017-07-01,335071
2017-08-01,335718
2017-09-01,278761
2017-10-01,231474
2017-11-01,140957
2017-12-01,162081
2018-01-01,174682
2018-02-01,189103
2018-03-01,199194
2018-04-01,183409
2018-05-01,237611
2018-06-01,306408
2018-07-01,352889
2018-08-01,359471
2018-09-01,301144
2018-10-01,239148
2018-11-01,150784
2018-12-01,166757
2019-01-01,169337
2019-02-01,189354
2019-03-01,196491
2019-04-01,192628
2019-05-01,237312
2019-06-01,318359
2019-07-01,359408
2019-08-01,364135
2019-09-01,296743
2019-10-01,239228
2019-11-01,149897
2019-12-01,174146
2020-01-01,185364
2020-02-01,179971
2020-03-01,63886
2020-04-01,7671
2020-05-01,59263
2020-06-01,121169
2020-07-01,261209
2020-08-01,254142
2020-09-01,203448
2020-10-01,143686
2020-11-01,66977
2020-12-01,91481
2021-01-01,81742
2021-02-01,126881
2021-03-01,111863
2021-04-01,136099
2021-05-01,159714
2021-06-01,170450
2021-07-01,236439
2021-08-01,294353
2021-09-01,238295
2021-10-01,199553
2021-11-01,120883
2021-12-01,136872
2022-01-01,132889
2022-02-01,160424
2022-03-01,168380
2022-04-01,153454
2022-05-01,205816
2022-06-01,279843
2022-07-01,347805
2022-08-01,342988
2022-09-01,279198
2022-10-01,235160
2022-11-01,141938
2022-12-01,181736
2023-01-01,177770
2023-02-01,185135
2023-03-01,190029
2023-04-01,203571
2023-05-01,267850
2023-06-01,342887
