time,value
2005-01-01,490
2005-02-01,1166
2005-03-01,1263
2005-04-01,943
2005-05-01,1764
2005-06-01,3647
2005-07-01,3994
2005-08-01,4493
2005-09-01,3933
2005-10-01,1787
2005-11-01,395
2005-12-01,838
2006-01-01,516
2006-02-01,1084
2006-03-01,747
2006-04-01,603
2006-05-01,1147
2006-06-01,2488
2006-07-01,2529
2006-08-01,3044
2006-09-01,2353
2006-10-01,660
2006-11-01,131
2006-12-01,805
2007-01-01,562
2007-02-01,1162
2007-03-01,978
2007-04-01,884
2007-05-01,974
2007-06-01,2414
2007-07-01,2100
2007-08-01,2127
2007-09-01,1924
2007-10-01,1070
2007-11-01,369
2007-12-01,527
2008-01-01,396
2008-02-01,1153
2008-03-01,623
2008-04-01,1092
2008-05-01,839
2008-06-01,2220
2008-07-01,2612
2008-08-01,2018
2008-09-01,1652
2008-10-01,945
2008-11-01,265
2008-12-01,803
2009-01-01,133
2009-02-01,725
2009-03-01,138
2009-04-01,480
2009-05-01,894
2009-06-01,1589
2009-07-01,1646
2009-08-01,1419
2009-09-01,1076
2009-10-01,456
2009-11-01,280
2009-12-01,714
2010-01-01,627
2010-02-01,760
2010-03-01,461
2010-04-01,704
2010-05-01,778
2010-06-01,2559
2010-07-01,1351
2010-08-01,1120
2010-09-01,1918
2010-10-01,506
2010-11-01,326
2010-12-01,988
2011-01-01,419
2011-02-01,491
2011-03-01,580
2011-04-01,771
2011-05-01,910
2011-06-01,1579
2011-07-01,1679
2011-08-01,1166
2011-09-01,1652
2011-10-01,542
2011-11-01,346
2011-12-01,882
2012-01-01,135
2012-02-01,577
2012-03-01,206
2012-04-01,310
2012-05-01,859
2012-06-01,629
2012-07-01,1420
2012-08-01,1594
2012-09-01,1205
2012-10-01,430
2012-11-01,256
2012-12-01,795
2013-01-01,354
2013-02-01,799
2013-03-01,639
2013-04-01,433
2013-05-01,655
2013-06-01,1169
2013-07-01,1292
2013-08-01,1535
2013-09-01,1383
2013-10-01,411
2013-11-01,291
2013-12-01,660
2014-01-01,353
2014-02-01,735
2014-03-01,896
2014-04-01,658
2014-05-01,566
2014-06-01,1154
2014-07-01,1372
2014-08-01,1633
2014-09-01,1235
2014-10-01,462
2014-11-01,272
2014-12-01,327
2015-01-01,319
2015-02-01,388
2015-03-01,581
2015-04-01,638
2015-05-01,1004
2015-06-01,1441
2015-07-01,1642
2015-08-01,1588
2015-09-01,966
2015-10-01,414
2015-11-01,314
2015-12-01,367
2016-01-01,321
2016-02-01,446
2016-03-01,622
2016-04-01,482
2016-05-01,600
2016-06-01,1038
2016-07-01,1567
2016-08-01,1374
2016-09-01,1243
2016-10-01,577
2016-11-01,412
2016-12-01,772
2017-01-01,736
2017-02-01,1044
2017-03-01,524
2017-04-01,532
2017-05-01,1024
2017-06-01,1724
2017-07-01,1475
2017-08-01,1446
2017-09-01,1860
2017-10-01,504
2017-11-01,336
2017-12-01,768
2018-01-01,436
2018-02-01,1220
2018-03-01,896
2018-04-01,807
2018-05-01,688
2018-06-01,2004
2018-07-01,1731
2018-08-01,2340
2018-09-01,2107
2018-10-01,1234
2018-11-01,364
2018-12-01,1608
2019-01-01,547
2019-02-01,1152
2019-03-01,1288
2019-04-01,662
2019-05-01,878
2019-06-01,1537
2019-07-01,1220
2019-08-01,1917
2019-09-01,2120
2019-10-01,734
2019-11-01,412
2019-12-01,1014
2020-01-01,617
2020-02-01,740
2020-03-01,616
2020-04-01,0
2020-05-01,28
2020-06-01,40
2020-07-01,332
2020-08-01,568
2020-09-01,82
2020-10-01,169
2020-11-01,194
2020-12-01,133
2021-01-01,17
2021-02-01,25
2021-03-01,23
2021-04-01,54
2021-05-01,83
2021-06-01,59
2021-07-01,120
2021-08-01,573
2021-09-01,422
2021-10-01,341
2021-11-01,288
2021-12-01,237
2022-01-01,186
2022-02-01,349
2022-03-01,499
2022-04-01,367
2022-05-01,731
2022-06-01,1425
2022-07-01,1536
2022-08-01,1190
2022-09-01,1256
2022-10-01,807
2022-11-01,382
2022-12-01,889
2023-01-01,314
2023-02-01,694
2023-03-01,553
2023-04-01,575
2023-05-01,1508
2023-06-01,1526
2023-07-01,2469
