time,value
2005-01-01,34
2005-02-01,39
2005-03-01,67
2005-04-01,121
2005-05-01,586
2005-06-01,680
2005-07-01,870
2005-08-01,653
2005-09-01,468
2005-10-01,395
2005-11-01,100
2005-12-01,261
2006-01-01,117
2006-02-01,29
2006-03-01,73
2006-04-01,247
2006-05-01,508
2006-06-01,968
2006-07-01,786
2006-08-01,787
2006-09-01,634
2006-10-01,1025
2006-11-01,149
2006-12-01,277
2007-01-01,24
2007-02-01,113
2007-03-01,69
2007-04-01,300
2007-05-01,541
2007-06-01,849
2007-07-01,959
2007-08-01,765
2007-09-01,910
2007-10-01,775
2007-11-01,216
2007-12-01,245
2008-01-01,53
2008-02-01,244
2008-03-01,226
2008-04-01,514
2008-05-01,902
2008-06-01,751
2008-07-01,932
2008-08-01,592
2008-09-01,756
2008-10-01,587
2008-11-01,73
2008-12-01,282
2009-01-01,45
2009-02-01,21
2009-03-01,5
2009-04-01,146
2009-05-01,457
2009-06-01,482
2009-07-01,521
2009-08-01,614
2009-09-01,416
2009-10-01,241
2009-11-01,99
2009-12-01,99
2010-01-01,54
2010-02-01,54
2010-03-01,200
2010-04-01,405
2010-05-01,628
2010-06-01,769
2010-07-01,831
2010-08-01,870
2010-09-01,824
2010-10-01,523
2010-11-01,106
2010-12-01,167
2011-01-01,72
2011-02-01,95
2011-03-01,96
2011-04-01,571
2011-05-01,1087
2011-06-01,1498
2011-07-01,1326
2011-08-01,1139
2011-09-01,1176
2011-10-01,615
2011-11-01,70
2011-12-01,104
2012-01-01,65
2012-02-01,36
2012-03-01,93
2012-04-01,327
2012-05-01,873
2012-06-01,1043
2012-07-01,1328
2012-08-01,1668
2012-09-01,1237
2012-10-01,1033
2012-11-01,99
2012-12-01,160
2013-01-01,46
2013-02-01,94
2013-03-01,288
2013-04-01,338
2013-05-01,1073
2013-06-01,1405
2013-07-01,1912
2013-08-01,1453
2013-09-01,1535
2013-10-01,889
2013-11-01,104
2013-12-01,219
2014-01-01,158
2014-02-01,78
2014-03-01,153
2014-04-01,409
2014-05-01,1246
2014-06-01,2712
2014-07-01,1687
2014-08-01,1696
2014-09-01,1707
2014-10-01,881
2014-11-01,171
2014-12-01,173
2015-01-01,170
2015-02-01,191
2015-03-01,331
2015-04-01,609
2015-05-01,1465
2015-06-01,3117
2015-07-01,2566
2015-08-01,2088
2015-09-01,2126
2015-10-01,1545
2015-11-01,153
2015-12-01,223
2016-01-01,100
2016-02-01,580
2016-03-01,287
2016-04-01,648
2016-05-01,2755
2016-06-01,4077
2016-07-01,2870
2016-08-01,2315
2016-09-01,4568
2016-10-01,2729
2016-11-01,532
2016-12-01,330
2017-01-01,420
2017-02-01,544
2017-03-01,537
2017-04-01,1222
2017-05-01,3708
2017-06-01,7171
2017-07-01,5866
2017-08-01,5397
2017-09-01,5589
2017-10-01,4420
2017-11-01,795
2017-12-01,818
2018-01-01,247
2018-02-01,633
2018-03-01,883
2018-04-01,1806
2018-05-01,3491
2018-06-01,8780
2018-07-01,6452
2018-08-01,5250
2018-09-01,5034
2018-10-01,3822
2018-11-01,559
2018-12-01,926
2019-01-01,589
2019-02-01,1401
2019-03-01,1216
2019-04-01,2160
2019-05-01,5773
2019-06-01,9906
2019-07-01,7625
2019-08-01,5802
2019-09-01,8408
2019-10-01,4189
2019-11-01,917
2019-12-01,942
2020-01-01,1024
2020-02-01,477
2020-03-01,166
2020-04-01,1
2020-05-01,20
2020-06-01,83
2020-07-01,226
